INTERVIEW_START_W55,ENVIR8_e_W55,EN7_W55,F_AGECAT,F_SEX,F_EDUCCAT,F_EDUCCAT2,F_PARTYSUM_FINAL
2019-10-04 12:43:59,3.0,3.0,4.0,2.0,1.0,5.0,1.0
2019-10-04 23:36:59,3.0,3.0,3.0,1.0,3.0,2.0,1.0
2019-10-07 12:25:00,3.0,4.0,3.0,1.0,2.0,4.0,1.0
2019-10-02 14:02:00,1.0,4.0,3.0,1.0,1.0,5.0,1.0
2019-10-03 20:58:00,2.0,1.0,4.0,1.0,1.0,5.0,2.0
2019-10-04 23:13:59,2.0,1.0,4.0,2.0,2.0,3.0,2.0
2019-10-07 00:48:00,3.0,2.0,3.0,2.0,3.0,2.0,1.0
2019-10-04 23:45:00,1.0,4.0,3.0,2.0,2.0,3.0,1.0
2019-10-05 01:51:00,1.0,3.0,4.0,1.0,1.0,5.0,1.0
2019-10-05 13:58:00,2.0,1.0,4.0,2.0,3.0,2.0,2.0
2019-10-05 11:38:00,3.0,2.0,3.0,2.0,1.0,5.0,2.0
2019-10-05 03:04:00,2.0,2.0,3.0,2.0,1.0,5.0,2.0
2019-10-04 21:19:59,2.0,2.0,2.0,2.0,1.0,6.0,1.0
2019-10-03 20:57:00,2.0,2.0,3.0,2.0,3.0,2.0,2.0
2019-10-08 16:45:00,2.0,1.0,2.0,2.0,1.0,5.0,2.0
2019-10-03 20:55:00,2.0,1.0,2.0,1.0,1.0,5.0,2.0
2019-10-05 02:58:59,2.0,1.0,4.0,2.0,1.0,6.0,2.0
2019-10-05 00:18:00,3.0,3.0,3.0,1.0,2.0,3.0,1.0
2019-10-05 17:34:59,2.0,1.0,2.0,1.0,1.0,6.0,2.0
2019-10-06 03:26:59,3.0,2.0,4.0,2.0,3.0,2.0,1.0
2019-10-04 22:10:00,3.0,3.0,4.0,1.0,1.0,5.0,1.0
2019-10-03 21:26:59,3.0,2.0,3.0,2.0,3.0,1.0,1.0
2019-10-03 21:34:00,2.0,2.0,4.0,2.0,2.0,4.0,1.0
2019-10-05 17:53:00,2.0,1.0,4.0,2.0,1.0,5.0,2.0
2019-10-10 23:58:59,2.0,1.0,3.0,1.0,1.0,6.0,2.0
2019-10-07 19:58:00,2.0,1.0,3.0,1.0,1.0,5.0,2.0
2019-10-04 23:38:00,3.0,3.0,2.0,1.0,2.0,4.0,1.0
2019-10-05 21:01:00,3.0,2.0,3.0,1.0,2.0,4.0,1.0
2019-10-04 21:25:00,1.0,1.0,2.0,1.0,2.0,4.0,2.0
2019-10-05 00:46:00,2.0,1.0,3.0,2.0,3.0,2.0,2.0
2019-10-03 20:55:00,2.0,1.0,3.0,2.0,2.0,3.0,1.0
2019-10-03 20:57:00,2.0,1.0,4.0,1.0,2.0,3.0,2.0
2019-10-05 00:55:00,1.0,3.0,2.0,2.0,1.0,5.0,1.0
2019-10-06 09:36:59,2.0,2.0,3.0,2.0,3.0,2.0,2.0
2019-10-04 20:05:59,2.0,1.0,4.0,1.0,1.0,6.0,2.0
2019-10-04 01:40:00,2.0,1.0,3.0,1.0,1.0,5.0,2.0
2019-10-04 01:37:00,2.0,1.0,4.0,2.0,3.0,2.0,2.0
2019-10-03 20:56:00,1.0,3.0,3.0,2.0,2.0,3.0,1.0
2019-10-05 03:08:00,3.0,2.0,4.0,2.0,3.0,2.0,1.0
2019-10-06 19:13:00,3.0,2.0,3.0,1.0,3.0,1.0,2.0
2019-10-05 02:41:00,2.0,2.0,4.0,2.0,2.0,3.0,2.0
2019-10-04 16:35:59,1.0,4.0,3.0,2.0,3.0,2.0,1.0
