Year,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring,population,GCAG_TEMP,GIS_TEMP,Sea_anomaly_temp,GMSL,CO2_Increase,CSIRO Adjusted Sea Level,Glacier_mass
2085,4052.27593984962,5909.646616541344,9459.574436090217,1490.8917293233098,201.91954887218026,38970262825.684204,2.1016069924812015,2.244338345864662,2.3456039237593984,295.150977443609,6.163278195488729,18.20840978503756,-69.0939015037593
2086,4084.3857142857087,5946.07142857142,9538.628571428562,1505.385714285716,203.7428571428568,39211896539.19995,2.120445714285708,2.2648571428571387,2.3691163628571417,298.3271428571434,6.215571428571437,18.33728906972854,-69.68825714285708
2087,4116.495488721797,5982.4962406014965,9617.682706766907,1519.879699248122,205.56616541353333,39453530252.71576,2.1392844360902217,2.2853759398496223,2.392628801954885,301.5033082706768,6.267864661654144,18.466168354419523,-70.28261278195487
2088,4148.605263157886,6018.921052631573,9696.736842105252,1534.3736842105282,207.38947368421032,39695163966.23157,2.1581231578947353,2.305894736842106,2.416141241052628,304.6794736842112,6.320157894736852,18.595047639110504,-70.87696842105265
2089,4180.715037593989,6055.345864661649,9775.790977443598,1548.8676691729343,209.21278195488685,39936797679.747314,2.176961879699242,2.3264135338345824,2.4396536801503714,307.85563909774464,6.372451127819559,18.723926923801486,-71.47132406015044
2090,4212.824812030078,6091.770676691725,9854.845112781943,1563.3616541353404,211.03609022556384,40178431393.26312,2.1958006015037554,2.346932330827066,2.463166119248122,311.031804511279,6.424744360902267,18.852806208492467,-72.06567969924822
2091,4244.934586466166,6128.195488721802,9933.899248120288,1577.8556390977465,212.85939849624037,40420065106.77893,2.214639323308269,2.3674511278195496,2.486678558345865,314.20796992481246,6.477037593984974,18.98168549318345,-72.66003533834578
2092,4277.044360902255,6164.620300751878,10012.953383458633,1592.3496240601526,214.6827067669169,40661698820.29474,2.2334780451127756,2.387969924812026,2.5101909974436083,317.3841353383459,6.529330827067682,19.11056477787443,-73.25439097744356
2093,4309.154135338344,6201.045112781954,10092.007518796978,1606.8436090225587,216.5060150375939,40903332533.810486,2.252316766917289,2.4084887218045097,2.5337034365413516,320.5603007518803,6.581624060150389,19.23944406256541,-73.84874661654135
2094,4341.263909774432,6237.4699248120305,10171.061654135323,1621.3375939849648,218.32932330827043,41144966247.326294,2.271155488721803,2.4290075187969933,2.557215875639095,323.73646616541373,6.633917293233097,19.368323347256393,-74.44310225563913
2095,4373.373684210521,6273.894736842092,10250.115789473668,1635.8315789473709,220.15263157894697,41386599960.8421,2.2899942105263094,2.4495263157894698,2.580728314736838,326.9126315789481,6.686210526315804,19.497202631947374,-75.03745789473692
2096,4405.4834586466095,6310.3195488721685,10329.169924812013,1650.325563909777,221.97593984962396,41628233674.35785,2.308832932330823,2.4700451127819534,2.6042407538345884,330.08879699248155,6.738503759398512,19.626081916638356,-75.6318135338347
2097,4437.593233082698,6346.744360902245,10408.224060150358,1664.819548872183,223.7992481203005,41869867387.87366,2.3276716541353366,2.49056390977443,2.6277531929323317,333.2649624060159,6.790796992481219,19.754961201329337,-76.22616917293226
2098,4469.703007518787,6383.169172932321,10487.278195488703,1679.3135338345892,225.62255639097702,42111501101.389465,2.346510375939843,2.5110827067669135,2.651265632030075,336.44112781954937,6.8430902255639126,19.88384048602032,-76.82052481203004
2099,4501.81278195489,6419.593984962397,10566.332330827048,1693.8075187969953,227.445864661654,42353134814.90521,2.3653490977443568,2.531601503759397,2.674778071127818,339.6172932330828,6.89538345864662,20.012719770711243,-77.41488045112783
2100,4533.922556390979,6456.018796992474,10645.386466165393,1708.3015037594014,229.26917293233055,42594768528.42102,2.3841878195488704,2.5521203007518736,2.6982905102255614,342.7934586466172,6.947676691729328,20.141599055402224,-78.00923609022561
2101,4566.032330827067,6492.44360902255,10724.440601503738,1722.7954887218075,231.09248120300708,42836402241.93683,2.403026541353384,2.572639097744357,2.7218029493233047,345.96962406015064,6.999969924812035,20.270478340093206,-78.6035917293234
