,Year,Gas Fuel,Liquid Fuel,Solid Fuel,Cement,Gas Flaring
146,2157,11645.229040031372,14522.970574259205,28153.394387837005,4918.263923211802,633.0746855728903
147,2158,11717.075340629417,14604.471862894832,28330.27969054581,4950.694521643607,637.154376458252
148,2159,11788.97485206987,14686.033513054834,28507.295998134243,4983.149138841138,641.2370888462792
149,2160,11860.927609601982,14767.655564725414,28684.443397385912,5015.627790715502,645.3228247385523
150,2161,11932.93364849699,14849.33805791766,28861.72197513841,5048.130493187731,649.4115861378959
151,2162,12004.993004048047,14931.081032667586,29039.13181828335,5080.6572621887535,653.5033750483835
152,2163,12077.105711570293,15012.88452903615,29216.67301376653,5113.208113659421,657.5981934753372
153,2164,12149.271806400873,15094.748587109192,29394.345648587827,5145.783063550516,661.6960434253242
154,2165,12221.491323898932,15176.673246997554,29572.149809801223,5178.382127822741,665.7969269061641
155,2166,12293.764299445575,15258.658548837062,29750.085584514978,5211.005322446748,669.9008459269253
156,2167,12366.09076844401,15340.70453278847,29928.15305989157,5243.652663403111,674.0078024979275
157,2168,12438.470766319406,15422.811239037575,30106.3523231477,5276.324166682374,678.1177986307393
158,2169,12510.904328519064,15504.978707795177,30284.683461554378,5309.019848285025,682.2308363381844
159,2170,12583.391490512287,15587.206979297116,30463.146562436945,5341.739724221508,686.3469176343388
160,2171,12655.932287790485,15669.496093804264,30641.741713175114,5374.483810512233,690.4660445345307
161,2172,12728.526755867155,15751.84609160255,30820.46900120293,5407.252123187587,694.5882190553457
162,2173,12801.17493027787,15834.257013002993,30999.32851400893,5440.044678287937,698.7134432146204
163,2174,12873.87684658038,15916.72889834171,31178.32033913603,5472.861491863623,702.8417190314512
164,2175,12946.632540354512,15999.261787979878,31357.4445641817,5505.70257997499,706.9730485261889
165,2176,13019.442047202268,16081.855722303852,31536.701276797918,5538.567958692365,711.1074337204436
166,2177,13092.3054027478,16164.510741725084,31716.090564691112,5571.457644096088,715.2448766370808
167,2178,13165.222642637418,16247.22688668019,31895.612515622488,5604.371652276488,719.3853793002272
168,2179,13238.19380253963,16330.004197630959,32075.2672174077,5637.309999333927,723.5289437352685
169,2180,13311.218918145161,16412.842715064326,32255.054757917154,5670.272701378788,727.6755719688517
170,2181,13384.298025166914,16495.74247949246,32434.975225075847,5703.259774531463,731.8252660288845
171,2182,13457.431159340013,16578.703531452746,32615.02870686358,5736.2712349223875,735.978027944534
172,2183,13530.61835642183,16661.725911507732,32795.215291314875,5769.307098692021,740.1338597462345
173,2184,13603.859652192004,16744.809660245286,32975.53506651902,5802.3673819908945,744.2927634656808
174,2185,13677.15508245241,16827.954818278493,33155.98812062008,5835.452100979564,748.4547411358326
175,2186,13750.504683027226,16911.1614262457,33336.57454181704,5868.561271828643,752.619794790914
176,2187,13823.9084897629,16994.429524810548,33517.294418363745,5901.694910718812,756.787926466417
177,2188,13897.366538528215,17077.759154661995,33698.147838568926,5934.853033840831,760.9591381990986
178,2189,13970.878865214232,17161.150356514292,33879.13489079627,5968.035657395514,765.1334320269816
179,2190,14044.445505734351,17244.60317110704,34060.25566346446,6001.242797593768,769.3108099893598
180,2191,14118.066496024352,17328.117639205157,34241.51024504713,6034.474470656569,773.4912741267935
181,2192,14191.741872042308,17411.693801598973,34422.89872407305,6067.7306928150065,777.6748264811122
182,2193,14265.471669768733,17495.33169910415,34604.42118912598,6101.011480310255,781.8614690954191
183,2194,14339.25592520646,17579.03137256176,34786.07772884486,6134.3168493935955,786.0512040140839
184,2195,14413.09467438078,17662.792862838294,34967.86843192371,6167.646816326422,790.2440332827509
185,2196,14486.987953339347,17746.616210825654,35149.7933871118,6201.0013973802415,794.4399589483382
186,2197,14560.93579815227,17830.50145744116,35331.85268321351,6234.380608836684,798.6389830590324
187,2198,14634.938244912082,17914.448643627606,35514.046409088565,6267.784466987498,802.8411076642997
188,2199,14708.995329733756,17998.457810353255,35696.374653651845,6301.212988134583,807.046334814876
189,2200,14783.107088754747,18082.528998611873,35878.83750587367,6334.666188589967,811.2546665627788
190,2201,14857.273558134977,18166.66224942266,36061.435054779635,6368.144084675834,815.466104961296
