Year,Category_1,Category_4,Category_2,Category_3,Hurricane_total
2187,424.2994672850431,186.3398567200904,21.03534129335813,228.96145825134153,1119.725215375173
2188,426.1630093268699,187.20575529668935,20.824247922926446,229.96931784728162,1124.6593061927656
2189,428.0265513686966,188.07165387328814,20.61315455249452,230.97717744322154,1129.5933970103579
2190,429.89009341052434,188.9375524498876,20.40206118206423,231.98503703916214,1134.5274878279533
2191,431.75363545235115,189.80345102648644,20.190967811632675,232.9928966351022,1139.4615786455458
2192,433.6171774941778,190.66934960308524,19.979874441200735,234.00075623104217,1144.3956694631383
2193,435.4807195360045,191.53524817968406,19.768781070768696,235.00861582698215,1149.3297602807306
2194,437.3442615778312,192.40114675628294,19.557687700337084,236.0164754229222,1154.2638510983234
2195,439.20780361965797,193.26704533288174,19.346594329906097,237.02433501886225,1159.1979419159156
2196,441.0713456614848,194.13294390948062,19.13550095947437,238.0321946148023,1164.1320327335084
2197,442.93488770331163,194.9988424860795,18.924407589042843,239.04005421074243,1169.066123551101
2198,444.79842974513826,195.86474106267826,18.71331421861072,240.0479138066824,1174.0002143686932
2199,446.661971786966,196.73063963927763,18.50222084818047,241.05577340262298,1178.9343051862884
2200,448.5255138287928,197.59653821587656,18.291127477748788,242.06363299856312,1183.8683960038813
2201,450.3890558706194,198.46243679247542,18.08003410731675,243.07149259450307,1188.8024868214736
