elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
18.0,1873-12-01,2019-12-31,56.7667,"VESTERVIG, DA",1.0,GHCND:DA000021100,METERS,8.3167
25.0,1874-08-01,2019-12-31,56.2831,"GRONBAEK ALLINGSKOVGARD, DA",0.9806,GHCND:DA000021430,METERS,9.6167
4.0,1873-12-01,2019-12-31,55.45,"NORDBY FANO, DA",1.0,GHCND:DA000025140,METERS,8.4
9.0,1873-12-01,2019-12-31,55.6831,"KOEBENHAVN LANDBOHOJSKOLEN 1, DA",0.9996,GHCND:DA000030380,METERS,12.5331
49.0,1867-01-01,2020-10-20,53.3639,"DUBLIN PHOENIX PARK, EI",1.0,GHCND:EI000003969,METERS,-6.3192
12.0,1877-12-14,2020-07-31,58.4194,"PARNU, EN",0.9473,GHCND:ENE00175035,METERS,24.4694
33.0,1870-06-30,2020-07-31,59.3981,"TALLINN, EN",0.9695,GHCND:ENE00175051,METERS,24.6028
151.0,1878-01-01,2020-10-20,43.6208,"TOULOUSE BLAGNAC, FR",1.0,GHCND:FR000007630,METERS,1.3789
871.0,1877-01-01,2020-10-20,44.5656,"EMBRUN, FR",0.5804,GHCND:FRE00104112,METERS,6.5019
6.0,1880-01-01,2020-10-20,49.7253,"PTE DE LA HAGUE, FR",0.9615,GHCND:FRE00104937,METERS,-1.9394
51.0,1876-01-01,2020-08-31,52.4639,"BERLIN DAHLEM, GM",0.9964,GHCND:GM000003319,METERS,13.3017
240.0,1879-01-01,2020-08-31,49.8753,"BAMBERG, GM",1.0,GHCND:GM000004063,METERS,10.9217
515.0,1879-01-01,2020-08-31,48.1667,"MUNCHEN NYMPHENBURG, GM",0.983,GHCND:GM000004199,METERS,11.5025
155.0,1824-01-01,2020-08-31,50.9267,"JENA STERNWARTE, GM",0.9775,GHCND:GM000004204,METERS,11.5842
977.0,1781-01-01,2020-08-31,47.8017,"HOHENPEISSENBERG, GM",0.9624,GHCND:GM000010962,METERS,11.0117
138.0,1863-12-01,2020-08-31,51.3164,"LEIPZIG HOLZHAUSEN, GM",0.9628,GHCND:GME00125218,METERS,12.4475
313.0,1879-01-01,2020-08-31,48.8556,"METTEN, GM",1.0,GHCND:GME00126010,METERS,12.9203
327.0,1879-01-01,2020-08-31,48.5817,"PASSAU MAIERHOF, GM",0.8677,GHCND:GME00127186,METERS,13.4167
112.2,1870-01-01,2020-10-20,50.03333,"RHEIN MAIN, GM",0.9983,GHCND:GMW00035032,METERS,8.58333
157.0,1860-12-01,2020-10-20,45.8167,"ZAGREB GRIC, HR",0.9993,GHCND:HR000142360,METERS,15.9781
564.0,1871-12-01,2018-12-31,44.55,"GOSPIC, HR",0.9379,GHCND:HRE00105182,METERS,15.3667
20.0,1857-12-01,2018-12-31,43.1667,"HVAR, HR",0.9354,GHCND:HRE00105189,METERS,16.45
7.0,1875-12-01,2020-08-20,53.3667,"WEST TERSCHELLING, NL",1.0,GHCND:NLE00100496,METERS,5.2167
1.0,1846-12-01,2020-08-20,53.1831,"GRONINGEN 1, NL",1.0,GHCND:NLE00100499,METERS,6.6
-3.0,1866-12-01,2020-08-20,52.3167,"HOOFDDORP, NL",1.0,GHCND:NLE00100503,METERS,4.7
7.0,1878-03-01,2020-08-20,51.6831,"KERKWERVE, NL",1.0,GHCND:NLE00100506,METERS,3.8667
20.0,1868-12-01,2020-08-20,51.1831,"ROERMOND, NL",1.0,GHCND:NLE00100510,METERS,5.9667
0.0,1876-12-01,2015-12-31,52.1167,"SCHEVENINGEN, NL",1.0,GHCND:NLE00101965,METERS,4.3
14.0,1867-02-01,2020-08-20,52.25,"PUTTEN GLD, NL",1.0,GHCND:NLE00101991,METERS,5.6167
18.0,1868-12-01,2020-08-20,51.4831,"HELMOND, NL",0.95,GHCND:NLE00102079,METERS,5.6167
0.0,1850-12-31,2020-10-20,52.9331,"DEN HELDER 1, NL",1.0,GHCND:NLM00006235,METERS,4.75
8.0,1854-12-01,2020-10-20,51.45,"WEST SOUBURG, NL",1.0,GHCND:NLM00006310,METERS,3.6
9.0,1875-01-01,2020-08-30,58.0667,OKSOEY FYR,0.9257,GHCND:NOE00105483,METERS,8.0506
5.0,1876-02-20,2011-02-06,69.3233,"ANDENES, NO",0.9994,GHCND:NOE00157204,METERS,16.12
117.0,1880-01-01,2016-03-31,46.1331,"ARAD, RO",0.8973,GHCND:ROE00100829,METERS,21.35
57.0,1874-10-01,2019-06-30,43.58,"SOTCHI, RS",0.9577,GHCND:RSM00037099,METERS,39.77
116.0,1877-11-01,2020-10-20,-34.083,"RIVERSDALE, SF",0.6641,GHCND:SF000104560,METERS,21.25
270.0,1880-01-01,2020-10-20,-33.617,"WORCESTER, SF",0.9841,GHCND:SF000227590,METERS,19.467
204.0,1877-10-01,2020-10-20,-33.8,"ROBERTSON, SF",0.8321,GHCND:SF000236780,METERS,19.9
190.0,1877-11-01,2020-10-20,-34.017,"GEORGE AIRPORT, SF",0.9964,GHCND:SF000288380,METERS,22.383
102.0,1877-12-01,2020-10-20,-33.467,"MALMESBURY, SF",0.9753,GHCND:SF000414170,METERS,18.717
842.0,1877-12-01,2020-10-20,-33.283,"WILLOWMORE, SF",0.6898,GHCND:SF000508870,METERS,23.5
642.0,1877-11-01,2020-10-20,-33.283,"GRAHAMSTOWN, SF",0.9753,GHCND:SF000570480,METERS,26.5
