date,datatype,station,value,attributes
2020-01-01T00:00:00,CDSD,GHCND:ASN00016097,1822.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00016097,1822.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00016098,1414.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00016098,1414.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00017043,2052.8,
2020-01-01T00:00:00,CLDD,GHCND:ASN00017043,2052.8,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00017110,1423.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00017110,1423.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00018012,679.0,
2020-01-01T00:00:00,CLDD,GHCND:ASN00018012,679.0,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00018014,585.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00018014,585.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00018069,480.7,
2020-01-01T00:00:00,CLDD,GHCND:ASN00018069,480.7,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00018106,689.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00018106,689.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00018116,571.9,
2020-01-01T00:00:00,CLDD,GHCND:ASN00018116,571.9,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00018192,355.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00018192,355.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00018195,839.0,
2020-01-01T00:00:00,CLDD,GHCND:ASN00018195,839.0,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00018201,1088.1,
2020-01-01T00:00:00,CLDD,GHCND:ASN00018201,1088.1,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00020028,722.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00020028,722.6,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00021133,589.4,
2020-01-01T00:00:00,CLDD,GHCND:ASN00021133,589.4,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00022031,494.0,
2020-01-01T00:00:00,CLDD,GHCND:ASN00022031,494.0,a
2020-01-01T00:00:00,CDSD,GHCND:ASN00022046,281.6,
2020-01-01T00:00:00,CLDD,GHCND:ASN00022046,281.6,a
