Entity,Code,Year,Coal Consumption - EJ,Gas Consumption - EJ,Geo Biomass Other - TWh,Hydro Generation - TWh,Nuclear Generation - TWh,Solar Generation - TWh,Wind Generation -TWh,Oil Consumption - EJ
Cyprus,CYP,1969,0,0,0,0,0,0,0,0.027323257000000004
Cyprus,CYP,1970,0,0,0,0,0,0,0,0.028817385
Cyprus,CYP,1971,0,0,0,0,0,0,0,0.034374652
Cyprus,CYP,1972,0,0,0,0,0,0,0,0.038653286
Cyprus,CYP,1973,0,0,0,0,0,0,0,0.041469013
Cyprus,CYP,1974,0,0,0,0,0,0,0,0.036767102999999995
Cyprus,CYP,1975,0,0,0,0,0,0,0,0.030708827999999997
Cyprus,CYP,1976,0,0,0,0,0,0,0,0.031223014
Cyprus,CYP,1977,0,0,0,0,0,0,0,0.035269141000000004
Cyprus,CYP,1978,0,0,0,0,0,0,0,0.036160147000000004
Cyprus,CYP,1979,0,0,0,0,0,0,0,0.036694199999999996
Cyprus,CYP,1980,0,0,0,0,0,0,0,0.037003193999999996
Cyprus,CYP,1981,0,0,0,0,0,0,0,0.035482297
Cyprus,CYP,1982,0,0,0,0,0,0,0,0.042529650999999995
Cyprus,CYP,1983,0,0,0,0,0,0,0,0.044750447
Cyprus,CYP,1984,0,0,0,0,0,0,0,0.04540496
Cyprus,CYP,1985,0.0038937240000000003,0,0,0,0,0,0,0.044941642999999996
Cyprus,CYP,1986,0.0023864760000000002,0,0,0,0,0,0,0.048529902
Cyprus,CYP,1987,0.005066028,0,0,0,0,0,0,0.057144943
Cyprus,CYP,1988,0.003056364,0,0,0,0,0,0,0.061185657000000004
Cyprus,CYP,1989,0.00272142,0,0,0,0,0,0,0.063201897
Cyprus,CYP,1990,0.002553948,0,0,0,0,0,0,0.066834381
Cyprus,CYP,1991,0.00188406,0,0,0,0,0,0,0.06835970400000001
Cyprus,CYP,1992,0.003475044,0,0,0,0,0,0,0.07859300400000001
Cyprus,CYP,1993,0.00293076,0,0,0,0,0,0,0.08235388
Cyprus,CYP,1994,0.004019328,0,0,0,0,0,0,0.081417169
Cyprus,CYP,1995,0.004479876,0,0,0,0,0,0,0.08635054699999999
Cyprus,CYP,1996,0.0041868,0,0,0,0,0,0,0.087990544
Cyprus,CYP,1997,0.003181968,0,0,0,0,0,0,0.089883874
Cyprus,CYP,1998,0.0005861519999999999,0,0,0,0,0,0,0.098221628
Cyprus,CYP,1999,0.001004832,0,0,0,0,0,0,0.102965612
Cyprus,CYP,2000,0.0015072479999999999,0,0,0,0,0,0,0.10743273099999999
Cyprus,CYP,2001,0.002219004,0,0,0,0,0,0,0.107975746
Cyprus,CYP,2002,0.001842192,0,0,0,0,0,0,0.10682717900000001
Cyprus,CYP,2003,0.001842192,0,0,0,0,0,0,0.11367569
Cyprus,CYP,2004,0.001842192,0,0,0,0,0.0004,0.00035499999999999996,0.110572085
Cyprus,CYP,2005,0.001842192,0,0,0,0,0.000566,0.00035499999999999996,0.12412234400000001
Cyprus,CYP,2006,0.00126344232076399,0,0.000155,0,0,0.0010019999999999999,0.00035499999999999996,0.12260383
Cyprus,CYP,2007,0.00114738732069325,0,0.0014,0,0,0.0017329999999999997,0.000356,0.12473008891823
Cyprus,CYP,2008,0.00093848832056592,0,0.012,0,0,0.003,0.000356,0.127376688164789
Cyprus,CYP,2009,0.000497479320297108,0,0.027000000000000003,0,0,0.004,0.000356,0.124532292966385
Cyprus,CYP,2010,0.000613534320367848,0,0.035,0,0,0.006999999999999999,0.031,0.120614272
Cyprus,CYP,2011,0.000288580320169776,0,0.052000000000000005,0,0,0.012,0.114,0.11860702
Cyprus,CYP,2012,0.00001004832,0,0.05,0,0,0.022000000000000002,0.185,0.110483944
Cyprus,CYP,2013,0.00001004832,0,0.049,0,0,0.047,0.231,0.097872684
